company_name,url,postal_code,address,city,province,phone,email,naics_code,naics_description,size,membership,type_organization,data_source
Atlantic Spirits and Wine Ltd,,,21 Frazee Ave,Dartmouth,Nova Scotia,(902) 488-8333,aarmstrong@aswl.ca,,,,,,FBA Original
B.A.RICHARD LTD,,E4S1M6,374 CHEMIN COTE STE ANNE,STE ANNE DE KENT,New Brunswick,5067436198,mrichard@barichard.ca,,,,,,FBA Original
Baie Ste Anne Seafoods (2014) Inc,,A1N 4S7,157 Glenco Dr #200,Mount Pearl,Newfoundland,709-368-9953   103,accountspayable@daleynb.ca,,,,,,FBA Original
Balance Creative Communications Inc,www.balancecreative.ca,B4B0R6,130 Bradford Place,Bedford,Nova Scotia,9022252626,darrell@balancecreative.ca,,,,,,FBA Original
Barry Group Inc,,A2H 6W2,415 Griffin Drive,Corner Brook,Newfoundland,709-785-7387,weddison@barrygroupinc.com,,,,,,FBA Original
Big 8 Beverages,,B0K 1S0,117 North Foord Street,Stellarton,Nova Scotia,902-752-7680,big8.beverages@sobeys.com,,,,,,FBA Original
Big Sky Ventures Inc.,,E3C 1E9,108 Heritage Ave.,New Maryland,New Brunswick,506 260-7400,Sea-buckthorn@outlook.com,,,,,,FBA Original
Bio Food Tech,,C1A 6B3,101 Belvedere Ave,,,,eacharter@biofoodtech.ca,,,,,,FBA Original
Blue Buoy Foods,,A1B 3N9,284 Kenmount Rd,St John's,Newfoundland,709-754-1060,trudy@bluebuoy.ca,,,,,,FBA Original
Blue Roof Distillers,,E4M 2G1,4144 Route 16,Malden,New Brunswick,1506538-7767,dstrang@strangsproduce.com,,,,,,FBA Original
Bonte Foods,,E1A 7Z7,615 Champlain St,Dieppe,New Brunswick,506-867-0739,b.obrien@bonte.ca,,,,,,FBA Original
Business Development Bank of Canada,,E1C 1H7,1234 Main Street,Moncton,New Brunswick,506-851-7850,lise.leblanc@bdc.ca,,,,,,FBA Original
Canada's Smartest Kitchen,www.smartestkitchen.ca,C1A 1E9,4 Sydney Street,Charlottetown,Prince Edward Island,,TMcRoberts@hollandcollege.com,,,,,,FBA Original
Canadian Food Exporters Association,www.cfea.com,M3C 1W3,"895 Don Mills Road, Bldg 2",Toronto,Ontario,416-445-3747,info@cfea.com,,,,,,FBA Original
Canadian Syrup Inc.,www.canadianmaplesyrup.ca,E4Z1T3,163 Gowland Mountain Road,Elgin,New Brunswick,506-756-2373,josh@canadianmaplesyrup.ca,,,,,,FBA Original
Cape Bald Packers,,E4N 1E3,2618 Acadie Rd,Cap-Pelé,New Brunswick,506-577-4316,dlosier@capebaldpackers.com,,,,,,FBA Original
Captain Cooke's Seafood Inc.,,C0B 1X0,23675 Trans Canada Hwy,Borden-Carleton,Prince Edward Island,902-437-3620,captaincooke@gmail.com,,,,,,FBA Original
Captain Dan's Inc.,www.captaindans.com,E4W 1C9,341 Cap Lumiere Road,Richiboutcou-Village,New Brunswick,506-523-9792,rosecormier@captaindans.com,,,,,,FBA Original
Cavok Brewing co.,cavokbrewing.ca,E1A 6P8,250 Boul Dieppe,Dieppe,New Brunswick,5069615835,basque@cavokbrewing.ca,,,,,,FBA Original
CCNB,CCNB.CA,E1W 1B6,9 Boulevard St-Pierre-Est,Caraquet,New Brunswick,506-726-2081,johanne.doucet@ccnb.ca,,,,,,FBA Original
CCNB Grand Falls,,,,,New Brunswick,506-475-4029,jared.christensen@ccnb.ca,,,,,,FBA Original
Cedar Bay Grilling,www.cedarbaygrilling.com,B0J 1C0,60 Gates Fish Plant Rd.,Blandford,Nova Scotia,9022282559,leslie@cedarbaygrilling.com,,,,,,FBA Original
Chefs from Away,www.chefsfromaway.com,B2H 3L9,277 Washington Street,New Glasgow,Nova Scotia,902-631-4113,info@chefsfromaway.com,,,,,,FBA Original
Chicken of the Sea Frozen Foods,http://www.thaiunion.com/en/home,E4P 2B3,347 Main St.,Shediac,New Brunswick,1-506-532-5200,darrin.moran@thaiunion.com,,,,,,FBA Original
Childs Foods,,E2M 5V8,1216 Sand Cove Rd,Saint John,New Brunswick,506-674-1809,dchilds@childsfoods.com,,,,,,FBA Original
Clearwater Seafoods Limited Partnership,www.clearwater.ca,B4A3Z7,757 Bedford Highway,Bedford,Nova Scotia,902-457-8154,dhanus@clearwater.ca,,,,,,FBA Original
Comeau's Sea Foods,WWW.COMEAUSEA.COM,B0W2Z0,60 Saulnierville Road,Saulnierville,Nova Scotia,,jcdoucet@comeausea.com,,,,,,FBA Original
Consultation Germain Landry Consulting,www.germainlandry.com,E3A 5H3,138 Willis Street,Fredericton,New Brunswick,506-447-1409,germain@germainlandry.com,,,,,,FBA Original
Coopérative Forestière Du Nord Ouest Ltée,www.exlpure.com,E7A 2G6,"495, Rue Principale",Clair,New Brunswick,506-992-3950,info@cofno.ca,,,,,,FBA Original
Cornect Family Farm,www.cornectfamilyfarm.com,B2H 5C8,"#365 Cornect Road,",Denver,Nova Scotia,902-833-2747,margaret@cornectfamilyfarm.com,,,,,,FBA Original
Corriveau Specialty Products,,E3V 4E2,64 boulevard de la Capitale,Edmundston,New Brunswick,5067330348,joeymaple1975@gmail.com,,,,,,FBA Original
COWS Creamery Inc.,www.cowscreamery.ca,C1E 2E2,12 Milky Way,Charlottetown,Prince Edward Island,902-628-3517,andrea@cows.ca,,,,,,FBA Original
Crosby Molasses,,E2L 3V4,P O Box 2240,Saint John,New Brunswick,,william.crosby@crosbys.com,,,,,,FBA Original
Cube Automation,www.cubefoodprocessing.com,E1X 1A1,2704-A rue Principale,Tracadie-Sheila,New Brunswick,(506) 393-6000,annette.godin@cubeautomation.com,,,,,,FBA Original
Degenhardt's European Sausage,,E4Z 3A1,484 Baseline Rd.,Glenvale,New Brunswick,506-381-9527,degensd@outlook.com,,,,,,FBA Original
"Department of Agriculture, Aquaculture and Fisheries",,E4P 2T7,90 South Cove Road,Shediac,New Brunswick,506-874-7528,jeanguy.mazerolle@gnb.ca,,,,,,FBA Original
"Dept of Agriculture, Aquaculture & Fisheries",,E4S 2T2,26 Acadie St,Bouctouche,New Brunswick,,veronique.comeau@gnb.ca,,,,,,FBA Original
Down East Coffee Roasters,,E4V 2G1,3935 NB-115,Notre-Dame,New Brunswick,506-576-9292,roasters@bellaliant.com,,,,,,FBA Original
Duguay Fish Packer Ltd,,,,Cap-Pelé,New Brunswick,506-577-2287,Nicole@duguayfish.com,,,,,,FBA Original
Duinkerken Foods,duinkerkenfoods.com,C0B 2A0,P O BOX 222,Slemon Park,Prince Edward Island,902-888-3604,jillian@duinkerkenfoods.com,,,,,,FBA Original
Dungeons Distillery Ltd.,,A0C1B0,32-34 Station Road,Bonavista,Newfoundland,709-218-2180,dungeons2017@outlook.com,,,,,,FBA Original
Eden Valley Poultry,,BOP 1EO,326 Main Street,Berwick,Nova Scotia,9023001989,troyl@edenvalleypoultry.com,,,,,,FBA Original
Edmond Gagnon Ltd.,,E4P 8A4,9 Quai des Robichaud Rd,Grand Barchois,New Brunswick,506-532-2445,samuel.cormier@egltd.ca,,,,,,FBA Original
Exportation de Hareng Cap-Pelé,,E4N 1C2,"2661-M, Acadie Road",Cap-Pelé,New Brunswick,506-577-9004,mariocormier@rogers.com,,,,,,FBA Original
Fairtax Grants & Incentives Inc.,https://fairtax.ca/,L6H 0G5,2265 Upper Middle Rd E,Oakville,Ontario,905-822-4474,mtalsma@fairtax.ca,,,,,,FBA Original
Fancy Pokket,,E1E 4K7,1220 St George Blvd,Moncton,New Brunswick,506- 853-7299,miketimani@fancypokket.com,,,,,,FBA Original
Farm Credit Canada,,C1E 1R4,4-5 Lower Malpeque Rd,Charlottetown,Prince Edward Island,902-566-7067,karen.macinnislarter@fcc-fac.ca,,,,,,FBA Original
Food & Beverage Atlantic,,,,,,,tammy@atlanticfood.ca,,,,,,FBA Original
Food and Bacteria Control Inc,,E4P 7Y4,55 rue Paul Street,Grand-Barachois,New Brunswick,506-532-2211,joanne@fbcontrol.ca,,,,,,FBA Original
Food Island Partnership,www.foodislandpei.ca,C1A 7K4,134 Kent Street,Charlottetown,Prince Edward Island,19023674411,morgan@foodislandpei.ca,,,,,,FBA Original
Food Safety Culture Inc.,www.foodsafetyculture.ca,E7J2E1,63 Upper Kent Road,Upper Kent,New Brunswick,7809956897,daryl@foodsafetyculture.ca,,,,,,FBA Original
FoodByte,,B4P 2R6,"24 University Ave., Patterson Hall, Wolfville, NS, B4P 2R6",Wolfville,Nova Scotia,,sean@joinfoodbyte.com,,,,,,FBA Original
Fresh Start Fauxmage,www.freshstartfauxmage.ca,C1B2T5,49 Kennedy Rd,Stratford,Prince Edward Island,9029780448,owner@freshstartfauxmage.ca,,,,,,FBA Original
G. E. Barbour Inc.,www.barbours.ca,E4E 1N3,165 Stewart Ave,Sussex,New Brunswick,506-944-0089,jessicaadair@barbours.ca,,,,,,FBA Original
Galloping Cows Fine Foods,GallopingCows.com,B0E 2W0,59 Justin Rd,Port Hood,Nova Scotia,902-787-3484,joanne.schmidt@gallopingcows.com,,,,,,FBA Original
GoodLeaf Farms,www.goodleaffarms.com,B6L 2R2,90 Research Drive,BIBLE HILL,Nova Scotia,9028435160,wpatterson@goodleaffarms.com,,,,,,FBA Original
Goulding's Wholesale Ltd. (Chatman's Bakery),www.gouldings.ca,A0C 1L0,P.O.Box 9,Charlottetown,Newfoundland,709-664-5181,chatmansbakery@nf.sympatico.ca,,,,,,FBA Original
Great Little Harbour Seafood Company,,E1A 9J0,PO Box 8050,Dieppe,New Brunswick,(506) 854-5800,,,,,,,FBA Original
Groupe Export,,,,,Quebec,450-649-6266,JulieLanglois@groupexport.ca,,,,,,FBA Original
Hilltop Farm Forestry Group Inc,,E7L2A5,9110 Main Street,Florenceville-Bristol,New Brunswick,5063925202,natalie@hilltopfarmgroup.com,,,,,,FBA Original
Holmestead Cheese Sales Inc.,,B0P 1C0,2439 Harmony Road,Aylesford,Nova Scotia,9028479034,holmes@eastlink.ca,,,,,,FBA Original
HOST Event Management,www.hostmanagement.ca,E1C 1A9,36 Albert Street,Moncton,New Brunswick,506-857-4254,srobinson@hostmanagement.ca,,,,,,FBA Original
HSF Foods,,E7K 2M4,741 Central St,Centreville,New Brunswick,506-276-3621,ben.brake@hsffood.ca,,,,,,FBA Original
I Food Equipment,www.ifoodequipment.ca,E1E2G8,170 Millennium Blvd,Moncton,New Brunswick,5063885999,cindy@ifoodequipment.com,,,,,,FBA Original
Ichibohi LPC Ltd,,E1W 1B6,24 rue du Quai,Caraquet,New Brunswick,506 727 0807,ichiboshi.gm@nb.aibn.com,,,,,,FBA Original
Innovaiton PEI,www.innovationpei.com,C1A 7L9,94 Euston Street,Charlottetown,Prince Edward Island,902-368-5952,darrybradley@gov.pe.ca,,,,,,FBA Original
IPL Inc. Edmundston Plant,,E3V 4H4,20 Boyd,Edmundston,New Brunswick,506 739-9559 x114,andree.st-onge@ipl-plastics.com,,,,,,FBA Original
Iron Berry Inc,Iron Berry,A1N 1W7,"39 Commonwealth Ave., ,A1N 1W7","Mt. Pearl,,,",Newfoundland,709 690 7522,gm@frozenintimeltd.com,,,,,,FBA Original
Island Beach Company.,,B2N 6V3,189 Industrial Ave.,Truro,Nova Scotia,902- 897-0954,cclerk@islandbeachcompany.com,,,,,,FBA Original
J Willy Krauch & Sons,,B0W 2Z0,60 Saulnierville Rd,Saulnierville,Nova Scotia,,donna@comeausea.com,,,,,,FBA Original
"Jano, 83ppm natural spring water",www.janosource.com,E8P 1R4,"12271, route 11",Village-Blanchard,New Brunswick,8447895266,data@janosource.com,,,,,,FBA Original
Knocean Foods Ltd.,,E4P3N6,99 Brenan Av.,Scoudouc,New Brunswick,,etienne.dodier@knoceanfoods.com,,,,,,FBA Original
Kookie Kutter Bakery (2019) Inc,,E1H 2K5,45 Red Oak Dr.,Irishtown,New Brunswick,506 850-8899,gcomeau@unitedfoodgroup.ca,,,,,,FBA Original
Kookie Kutter Bakery (2019) Inc.,,E1g2w5,2779 mountain rd,Moncton,New Brunswick,506-381-3432,customfp@gmail.com,,,,,,FBA Original
L`Erabliere de la Montagne Verte,,E7B 2M5,"1164, chemin du Pouvoir",Edmundston,New Brunswick,506-735-5062,info@erablieremv.com,,,,,,FBA Original
La Maison Beausoleil Inc.,www.maisonbeausoleil.ca,E9G4H3,42 Otho Street,Neguac,New Brunswick,506 776 4545,amedee@maisonbeausoleil.ca,,,,,,FBA Original
Larkin Bros. Inc.,www.larkinbros.com,C0A 1N0,2565 New Glasgow Road,New Glasgow,Prince Edward Island,902-964-2710,info@larkinbros.com,,,,,,FBA Original
Le Domaine Bellerive2012 INC,,E4W5R9,"1967, route 495",East Branch,New Brunswick,15065239589,fromagerie-aufonddesbois@hotmail.com,,,,,,FBA Original
Les Brasseux dl'a côte,,,3216 rue Principal,Tracadie-Sheila,New Brunswick,,admin@brasseuxdlacote.ca,,,,,,FBA Original
Les Cuisines Roi Ltee,www.cuisinesroi.ca,EAJ 3B2,220 RT 134,Petit Rocher,New Brunswick,506-783-4357,jean.robert@cuisinesroi.ca,,,,,,FBA Original
Les Entreprises D Cote,,,,,,,marie-eve.cote@daviabio.com,,,,,,FBA Original
Les Fermes GAM Michaud Farms,gampotatoes.com,E3Y2X9,"990, chemin de l'Église",Saint-André,New Brunswick,506-473-2620,michaudm@nbnet.nb.ca,,,,,,FBA Original
Les Pecheries de Chez Nous,,E1X 4K9,75 Rue du Quai,Val-Comeau,New Brunswick,,stephanie.mcgrath@thaiunion.com,,,,,,FBA Original
Leslie Hardy & Sons Ltd,,C0B 1J0,Foster Sharp Rd,Ellerslie,Prince Edward Island,,lesliehardy2577@gmail.com,,,,,,FBA Original
Leslie Legere & Sons,,E4N 3B3,34 Chemin de la Cote,Cap-Pelé,New Brunswick,506-577-4730,sylvio@leslieandsons.com,,,,,,FBA Original
Lizotte Machine Vision,www.lizottemachinevision.com,E7C 2S6,2 Rue Montreuil,RIVIERE-VERTE,New Brunswick,5067373261,lizottem@lizottemachinevision.com,,,,,,FBA Original
Lockhart Apiaries Inc.,,E1G 4L4,2319 Route 106,Allison,New Brunswick,506-859-8186,apiaries@nbnet.nb.ca,,,,,,FBA Original
Made With Local Snack Foods Inc.,www.madewithlocal.com,B2Y 1H1,35 Portland Street Street Suite 3,Dartmouth,Nova Scotia,9022238107,andrew@madewithlocal.com,,,,,,FBA Original
Marine Scientific Ltd.,,A0A1X0,88 Southside Road,Coley's Point South,Newfoundland,709-456-8889,marinescientific.nl@gmail.com,,,,,,FBA Original
Maritime Labels & Packaging,www.goMLP.ca,B4B 1G7,100 Bluewater Road,Bedford,Nova Scotia,902-835-2400,paul@gomlp.ca,,,,,,FBA Original
Maritime Madness,,,570 Main St,Montague,Prince Edward Island,902-583-2984,amiel@maritimemadness.com,,,,,,FBA Original
Maritime Paper Products,,B2Y 3Y9,P O BOX 668,Dartmouth,Nova Scotia,902-468-5353,geoffm@maritimepaper.com,,,,,,FBA Original
Master Packaging Inc.,,E!A 7G9,333 Adelard-Savoie,Dieppe,New Brunswick,902-439-4612,bryanton.cathy@master-packaging.com,,,,,,FBA Original
McConnell Transport Ltd,,,P O BOx 9053,,New Brunswick,506-325-2211,larrym@mcconnelltransport.com,,,,,,FBA Original
MCP Network LTD,,e1a3a4,71 Toombs Street,Moncton,New Brunswick,450-250-4545,administration@transportoptimal.com,,,,,,FBA Original
Medavie Blue Cross,https://www.medaviebc.ca/en/group-benefits,E1C 8L3,644 Main St,Moncton,New Brunswick,902-496-7358,gary.spencer@medavie.bluecross.ca,,,,,,FBA Original
Merex,,B3H 4N4,1096 Marginal Road,Halifax,Nova Scotia,902-421-2100,accountspayable@saltfish.com,,,,,,FBA Original
MOOSE BELL PRODUCTS INC.,www.pollipop.ca,E3B 7B5,"245 Hilton Road, Unit 24",Fredericton,New Brunswick,506-883-3388,info@pollipop.ca,,,,,,FBA Original
Mrs. MacGregor's Shortbreads,https://www.mrsmacgregors.com/,B0K 1H0,59 Water Street,Pictou,Nova Scotia,9023821878,hbuchan@eastlink.ca,,,,,,FBA Original
MV Osprey Ltd.,,B2A 3M3,385 Purves St,North Sydney,Nova Scotia,,snichols@mvosprey.com,,,,,,FBA Original
Nadeau Ferme Avicole,,E7A 1B6,2222 Rue Commerciale,Saint-François-de-Madawaska,New Brunswick,506-992-2192,yves.landry@nadeaupoultry.com,,,,,,FBA Original
Nautical Seafoods Ltd,,B0S 11K0,RR 3 4336 Shore Rd,Grandville Ferry,Nova Scotia,902-532-2212,shawn@nauticalseafoods.com,,,,,,FBA Original
Navigate Food Safety Solutions,www.navigatefoodsafety.com,C0A 1R0,"544 Main Street, Suite 107",Montague,Prince Edward Island,902-361-2288,info@navigatefoodsafety.com,,,,,,FBA Original
Newfound Perogi Frozen Foods,,A1A0M5,7 Tansley Street,St. John's,Newfoundland,709-325-5511,ediyanova@gmail.com,,,,,,FBA Original
North Nova Seafoods,NNSEAFOODS.CA,B0K1H0,Stacey Stone,Pictou,Nova Scotia,9024856394,stacey@nnseafoods.ca,,,,,,FBA Original
Nova Scotia Business Inc.,,B3J 3N8,1800 Argyle St #701,Halifax,Nova Scotia,,kforsyth@nsbi.ca,,,,,,FBA Original
Nova Scotia Department of Agriculture,,,,,Nova Scotia,,Lisa.Patton@novascotia.ca,,,,,,FBA Original
Nova West Laboratory,http://comeausea.com/novawest/,B0W 2Z0,77 C. Saulnier Road,Saulnierville,Nova Scotia,902-769-2102,steven.barr@comeausea.com,,,,,,FBA Original
NSBI,,,,,Nova Scotia,902-223-8252,,,,,,,FBA Original
Number Five Food Inc,https://fortysixnorth.ca/,C0A1V0,5 Church Street,Murray Harbour,Prince Edward Island,1 902 316 0331,mrwadelittle@gmail.com,,,,,,FBA Original
Nurture Atlantic Inc.,nurtureatlantic.ca,E1G 4R3,P.O Box 29115,Moncton,New Brunswick,506-382-3474,gregory@nurtureatlantic.ca,,,,,,FBA Original
Nutracelle,nutracelle.com,C1B1P4,3b Myrtle,Stratford,Prince Edward Island,877-229-1209,alfred@nutracelle.com,,,,,,FBA Original
Ocean Pier Inc.,,E4P 3R4,20 Pattison St,Scoudouc,New Brunswick,506-532-3010,mikebreau@oceanpierinc.com,,,,,,FBA Original
ONB,,E3B 9M9,"Place 2000, 250 King Street",Fredericton,New Brunswick,,brian.deveau@onbcanada.ca,,,,,,FBA Original
Opportunities New Brunswick,,,,,,,Suzanne.Turmel@onbcanada.ca,,,,,,FBA Original
Organigram,Www.organigram.ca,E1E 3X3,35 English Drive,Moncton,New Brunswick,506-377-2008,Ginette.ahier@organigram.ca,,,,,,FBA Original
Oven Head Salmon Smokers,,E5C 1S3,101 Oven Head Rd,Bethel,New Brunswick,506-755-2507,ovenhead@xplornet.ca,,,,,,FBA Original
Oyster Kings and King Aquaculture,oysterkings.ca,E4W1G2,682 De La Pointe Road,Richibuctou-Village,New Brunswick,506-524-6317,danny@oysterkings.ca,,,,,,FBA Original
P.E.I. MUSSEL KING INC.,peimusselking.com,C0A 1S0,PO BOX 39,MORELL,Prince Edward Island,902-961-3300,esther@peimusselking.com,,,,,,FBA Original
"Partner Seafood, Inc.",,,,,,506 386 3100,pfarrah@partner-seafood.com,,,,,,FBA Original
Paturel International Company,,E5V1G6,349 Northern Harbour Road,Northern Harbour,New Brunswick,506 747 1888 ext 711,srichardson@paturel.ca,,,,,,FBA Original
Pêcheries Arseneau Fisheries ( Poissonnerie Arseneau Fish Market Ltée/Ltd),www.poissonneriearseneau.com,E8K 3S8,221 rue Principale,Nigadoo,New Brunswick,506-783-2195,louise1@nb.aibn.com,,,,,,FBA Original
Pecheries Bas-Caraquet,,E1W 5Y9,2270 Rue Industrielle,Bas-Caraquet,New Brunswick,506-727-3632,pecheriesbascaraquet@gmail.com,,,,,,FBA Original
Pêcheries Belle-Île Ltée,,,,,New Brunswick,505-344-0920,yoland@belleile.ca,,,,,,FBA Original
Pêcheries Ste-Cecile 2001 Ltee,,,,,New Brunswick,506-727-5556,boucanie@nbnet.nb.ca,,,,,,FBA Original
Pêcheries St-Paul (1989) Ltée,N/A,E1W 1B7,"2261 Parc Industriel, Bas-Caraquet, N.-B. E1W 5Z1",N/A,New Brunswick,(506)727-7247,projetpsp89@bellaliant.com,,,,,,FBA Original
PEI Juice Works Ltd,www.peijuiceworks.ca,C0B 1V0,62A Griffin Drive,Alberton,Prince Edward Island,9027263008,kyla@peijuiceworks.ca,,,,,,FBA Original
PEI Preserve Company,,C0A 1N0,2841 New Glasgow Rd,New Glasgow,Prince Edward Island,902-964-4300,bruce@preservecompany.com,,,,,,FBA Original
Perennia,www.perennia.ca,B4N 1J5,32 Main Street,Kentville,Nova Scotia,902-678-7722,lgodlien@perennia.ca,,,,,,FBA Original
Petit-Cap Fisheries,,E4N 2H5,2015 Route 950,Petit-Cap,New Brunswick,506-577-2842,petitcapfisheries@hotmail.com,,,,,,FBA Original
Poissonnerie Arseneau Fish Market Ltée/Ltd,,,,,New Brunswick,506-261-5316,,,,,,,FBA Original
PORTFOLIO,http://weareportfolio.com,E1C 1E9,795 Main Street,Moncton,New Brunswick,506-850-4317,greg@weareportfolio.com,,,,,,FBA Original
Potatoes NB,,E3Z 3C7,777 Everard H Daigle Boul,Grand-Sault,New Brunswick,,gfpotato@potatoesnb.com,,,,,,FBA Original
Prince Edward Aqua Farms Inc,,C0B 1M0,5891 Route 20,Springbrook,Prince Edward Island,902 886-2220,jerry@peaqua.com,,,,,,FBA Original
Produits Belle Baie Ltée,,,,,,506 727 4414,fernand.brideau@bellebaie.com,,,,,,FBA Original
Pump House Brewery,,,5 Orange Lane,Moncton,New Brunswick,506-855-2337,shaunfraser@pumphousebrewery.ca,,,,,,FBA Original
Pump House Brewery Ltd,pumphouse.beer,E1A 6R1,131 Mill Rd,Moncton,New Brunswick,506-854-2537,alina@pumphousebrewery.ca,,,,,,FBA Original
Pure Canadian Preserves Inc.,,A0B 3K0,1 Clinic Road,Whitbourne,Newfoundland,709-759-3400,admin@bodyforlifewellness.com,,,,,,FBA Original
Purity Dairy,,C1A 1P5,317 Kent St,Charlottetown,Prince Edward Island,902 894-7125,tcullen@puritydairy.ca,,,,,,FBA Original
Purity Factories Limited,www.purity.nf.ca,A1E 1S8,96 Blackmarsh Rd,St. John's,Newfoundland,709-579-2035,hspurrell@purity.nf.ca,,,,,,FBA Original
Quin Sea ,,,,Cape Broyle,,,jwalsh@quinsea.com,,,,,,FBA Original
Quin Sea Fisheries Ltd.,,A0A 3G0,70 Marine Dr,Old Perlican,Newfoundland,,capebroylesea.suri@bellaliant.com,,,,,,FBA Original
Quin Sea ,,,,Southern Harbour,Newfoundland,,slynch@quinsea.com,,,,,,FBA Original
Quin Sea,,,,Conche,Newfoundland,,sletto@quinsea.com,,,,,,FBA Original
Quin Sea,,,,Change Islands,Newfoundland,,phillyard@quinsea.com,,,,,,FBA Original
Quin Sea,,,,Southern Harbour,Newfoundland,,croberts@quinsea.com,,,,,,FBA Original
Raymond O'Neill & Sons,,,,,New Brunswick,506-228-4794,pdurelle@rofisheries.com,,,,,,FBA Original
Reiser Canada (Co),,L7P 5B7,1549 Yorkton Court,Burlington,Ontario,905-631-6611,salescn@reiser.com,,,,,,FBA Original
Royal Star Foods,www.royalstarfoods.com,C0B2B0,175 Jude's Point Road,Tignish,Prince Edward Island,902-882-2050,angela@royalstarfoods.com,,,,,,FBA Original
RPC,www.rpc.ca,E3B 6Z9,921 ch College Hill rd,Fredericton,New Brunswick,506-460-5776,andre.pelletier@rpc.ca,,,,,,FBA Original
Russell and Sons Torshee,https://torshee.ca/,B4A 0G9,53 Ternan gate,Bedford,Nova Scotia,0902 449 4551,info@torshee.ca,,,,,,FBA Original
Sable Shortbread Company Ltd.,www.sableshortbread.ca,B4N 2N1,437 Main Street,Kentville,Nova Scotia,902-365-5290,lorraine@sableshortbread.ca,,,,,,FBA Original
Saltscapes Publishing / Saltscapes Expo,www.saltscapes.com,B4A 0C1,30 Damascus Road,Bedford,Nova Scotia,902-464-7258,lsampson@saltscapes.com,,,,,,FBA Original
Sansom Equipment Limited,https://sansom.ca/,E3C 1P2,1475 Woodstock Rd.,Fredericton,New Brunswick,506-429-2993,ryan.mccashion@sansom.ca,,,,,,FBA Original
Scottage Cheeze Vegan Products Inc.,,E6K1N4,434 CHARLIE LITTLE RD,HARVEY,New Brunswick,506-476-7109,Scottagecheezenb@gmail.com,,,,,,FBA Original
Sea Star Seafoods Limited,www.seastarseafoods.com,B0W1P0,P.O. Box 220,Clarks Harbour,Nova Scotia,902-745-2925,adlai@seastarseafoods.com,,,,,,FBA Original
Sea Tide Import & Export Ltd.,,E4N 1N8,45 Cormier St,Cap-Pele,New Brunswick,506-577-4341,seatide@rogers.com,,,,,,FBA Original
Seafood 2000 Ltd.,,,,,Prince Edward Island,(902) 652-2316,patrick.sf2000@pei.aibn.com,,,,,,FBA Original
